==3287== NVPROF is profiling process 3287, command: python index.py
==3287== Profiling application: python index.py
==3287== Profiling result:
   Start  Duration  Name
5.01180s  6.3170us  cudaStreamSynchronize
5.01182s  4.4930us  cudaMemcpyAsync
5.01182s  6.6000us  cudaStreamSynchronize
5.01185s  13.916us  cudaMemcpyAsync
5.01186s  5.8460us  cudaStreamSynchronize
5.01190s  4.0343ms  cudaMemcpyAsync
5.01593s  30.246us  cudaStreamSynchronize
5.01618s  19.829us  cudaMemcpyAsync
5.01620s  7.8600us  cudaStreamSynchronize
5.01625s  12.933us  cudaMemcpyAsync
5.01626s  6.3320us  cudaStreamSynchronize
5.01630s  5.4450us  cudaMemcpyAsync
5.01631s  6.1960us  cudaStreamSynchronize
5.01633s  4.5520us  cudaMemcpyAsync
5.01633s  6.1880us  cudaStreamSynchronize
5.01636s  11.590us  cudaMemcpyAsync
5.01637s  6.0430us  cudaStreamSynchronize
5.01639s  190.24us  cudaMalloc
5.01660s  1.5651ms  cudaMemcpyAsync
5.01816s  116.95us  cudaStreamSynchronize
5.01836s  19.660us  cudaMemcpyAsync
5.01838s  7.3080us  cudaStreamSynchronize
5.01842s  13.238us  cudaMemcpyAsync
5.01843s  6.3840us  cudaStreamSynchronize
5.01846s  12.702us  cudaMemcpyAsync
5.01847s  6.4690us  cudaStreamSynchronize
5.01851s  6.5330us  cudaMemcpyAsync
5.01852s  6.6030us  cudaStreamSynchronize
5.01854s  5.9950us  cudaMemcpyAsync
5.01855s  5.9420us  cudaStreamSynchronize
5.01860s  1.5980ms  cudaMemcpyAsync
5.02020s  117.09us  cudaStreamSynchronize
5.02039s  19.597us  cudaMemcpyAsync
5.02041s  7.5920us  cudaStreamSynchronize
5.02044s  5.4600us  cudaMemcpyAsync
5.02045s  7.2940us  cudaStreamSynchronize
5.02050s  6.1150us  cudaMemcpyAsync
5.02051s  6.2800us  cudaStreamSynchronize
5.02053s  4.2840us  cudaMemcpyAsync
5.02053s  6.3250us  cudaStreamSynchronize
5.02055s  4.0150us  cudaMemcpyAsync
5.02056s  6.9390us  cudaStreamSynchronize
5.02059s  3.8271ms  cudaMemcpyAsync
5.02442s  33.341us  cudaStreamSynchronize
5.02461s  24.200us  cudaMemcpyAsync
5.02464s  7.4130us  cudaStreamSynchronize
5.02467s  6.1220us  cudaMemcpyAsync
5.02468s  6.1290us  cudaStreamSynchronize
5.02471s  7.4760us  cudaMemcpyAsync
5.02472s  6.1520us  cudaStreamSynchronize
5.02475s  5.3250us  cudaMemcpyAsync
5.02475s  6.0910us  cudaStreamSynchronize
5.02477s  10.940us  cudaMemcpyAsync
5.02478s  114.33us  cudaStreamSynchronize
5.02495s  171.51us  cudaMalloc
5.02514s  1.6406ms  cudaMemcpyAsync
5.02678s  116.92us  cudaStreamSynchronize
5.02697s  21.892us  cudaMemcpyAsync
5.02699s  7.3050us  cudaStreamSynchronize
5.02703s  13.770us  cudaMemcpyAsync
5.02704s  6.4570us  cudaStreamSynchronize
5.02707s  13.838us  cudaMemcpyAsync
5.02709s  6.6390us  cudaStreamSynchronize
5.02711s  11.765us  cudaMemcpyAsync
