==3287== NVPROF is profiling process 3287, command: python index.py
==3287== Profiling application: python index.py
==3287== Profiling result:
   Start  Duration  Name
4.96488s     407ns  cudaGetDevice
4.96488s     251ns  cudaGetDevice
4.96488s  11.636us  cudaMemcpyAsync
4.96489s  6.1770us  cudaStreamSynchronize
4.96489s     405ns  cudaSetDevice
4.96493s     582ns  cudaGetDevice
4.96494s     302ns  cudaGetDevice
4.96494s     257ns  cudaGetDevice
4.96494s     265ns  cudaGetDevice
4.96494s     256ns  cudaGetDevice
4.96494s     248ns  cudaGetDevice
4.96494s     253ns  cudaGetDevice
4.96494s     448ns  cudaSetDevice
4.96494s     277ns  cudaSetDevice
4.96495s     411ns  cudaGetDevice
4.96495s     244ns  cudaGetDevice
4.96495s  138.52us  cudaMemcpyAsync
4.96509s  16.480us  cudaStreamSynchronize
4.96511s     538ns  cudaSetDevice
4.96516s     611ns  cudaGetDevice
4.96516s     288ns  cudaGetDevice
4.96516s     254ns  cudaGetDevice
4.96516s     264ns  cudaGetDevice
4.96516s     249ns  cudaGetDevice
4.96516s     244ns  cudaGetDevice
4.96516s     250ns  cudaGetDevice
4.96516s     482ns  cudaSetDevice
4.96516s     279ns  cudaSetDevice
4.96517s     421ns  cudaGetDevice
4.96517s     246ns  cudaGetDevice
4.96518s  7.3680us  cudaMemcpyAsync
4.96518s  6.1720us  cudaStreamSynchronize
4.96519s     415ns  cudaSetDevice
4.96521s     618ns  cudaGetDevice
4.96521s     269ns  cudaGetDevice
4.96521s     256ns  cudaGetDevice
4.96521s     271ns  cudaGetDevice
4.96521s     262ns  cudaGetDevice
4.96521s     255ns  cudaGetDevice
4.96521s     250ns  cudaGetDevice
4.96521s     451ns  cudaSetDevice
4.96522s     280ns  cudaSetDevice
4.96526s     557ns  cudaGetDevice
4.96526s     268ns  cudaGetDevice
4.96526s  7.7180us  cudaMemcpyAsync
4.96527s  6.3890us  cudaStreamSynchronize
4.96528s     444ns  cudaSetDevice
4.96530s     590ns  cudaGetDevice
4.96530s     276ns  cudaGetDevice
4.96530s     257ns  cudaGetDevice
4.96530s     272ns  cudaGetDevice
4.96530s     246ns  cudaGetDevice
4.96531s  1.9650us  cudaGetDevice
4.96531s     258ns  cudaGetDevice
4.96531s     461ns  cudaSetDevice
4.96531s     279ns  cudaSetDevice
4.96532s     413ns  cudaGetDevice
4.96532s     249ns  cudaGetDevice
4.96533s  6.1850us  cudaMemcpyAsync
